,Unnamed: 0,Date,Opponent,Segment,Arena,Location,Attendance
361,15,"September 9, 2016",Connecticut Sun,Regular season,Madison Square Garden,"New York, NY",9482
362,16,"September 13, 2016",Washington Mystics,Regular season,Madison Square Garden,"New York, NY",8345
363,17,"September 24, 2016",Phoenix Mercury,Second Round,Madison Square Garden,"New York, NY",10227
364,0,"May 13, 2017",San Antonio Stars,Regular season,Madison Square Garden,"New York, NY",8207
365,1,"May 18, 2017",Minnesota Lynx,Regular season,Madison Square Garden,"New York, NY",7004
366,2,"May 30, 2017",Los Angeles Sparks,Regular season,Madison Square Garden,"New York, NY",8108
367,3,"June 2, 2017",Dallas Wings,Regular season,Madison Square Garden,"New York, NY",7426
368,4,"June 4, 2017",Phoenix Mercury,Regular season,Madison Square Garden,"New York, NY",7831
369,5,"June 7, 2017",Atlanta Dream,Regular season,Madison Square Garden,"New York, NY",14816
370,6,"June 11, 2017",Seattle Storm,Regular season,Madison Square Garden,"New York, NY",8564
371,7,"June 23, 2017",Connecticut Sun,Regular season,Madison Square Garden,"New York, NY",10240
372,8,"July 14, 2017",Chicago Sky,Regular season,Madison Square Garden,"New York, NY",9341
373,9,"July 16, 2017",Washington Mystics,Regular season,Madison Square Garden,"New York, NY",10204
374,10,"July 19, 2017",Connecticut Sun,Regular season,Madison Square Garden,"New York, NY",17443
375,11,"August 8, 2017",Indiana Fever,Regular season,Madison Square Garden,"New York, NY",10068
376,12,"August 13, 2017",Los Angeles Sparks,Regular season,Madison Square Garden,"New York, NY",10083
377,13,"August 20, 2017",Minnesota Lynx,Regular season,Madison Square Garden,"New York, NY",10007
378,14,"August 25, 2017",Washington Mystics,Regular season,Madison Square Garden,"New York, NY",9340
379,15,"August 27, 2017",Chicago Sky,Regular season,Madison Square Garden,"New York, NY",9317
380,16,"September 1, 2017",San Antonio Stars,Regular season,Madison Square Garden,"New York, NY",10108
381,17,"September 10, 2017",Washington Mystics,Second Round,Madison Square Garden,"New York, NY",9538
382,0,"May 25, 2018",Minnesota Lynx,Regular season,Westchester County Center,"White Plains, NY",2315
383,1,"May 29, 2018",Dallas Wings,Regular season,Westchester County Center,"White Plains, NY",1516
384,2,"June 5, 2018",Phoenix Mercury,Regular season,Madison Square Garden,"New York, NY",7215
385,3,"June 7, 2018",Connecticut Sun,Regular season,Westchester County Center,"White Plains, NY",1581
386,4,"June 10, 2018",Indiana Fever,Regular season,Westchester County Center,"White Plains, NY",1537
387,5,"June 13, 2018",Las Vegas Aces,Regular season,Westchester County Center,"White Plains, NY",1419
388,6,"June 19, 2018",Atlanta Dream,Regular season,Westchester County Center,"White Plains, NY",1627
389,7,"June 26, 2018",Phoenix Mercury,Regular season,Westchester County Center,"White Plains, NY",1839
390,8,"June 29, 2018",Chicago Sky,Regular season,Westchester County Center,"White Plains, NY",1837
391,9,"July 3, 2018",Seattle Storm,Regular season,Westchester County Center,"White Plains, NY",1749
392,10,"July 8, 2018",Dallas Wings,Regular season,Westchester County Center,"White Plains, NY",1719
393,11,"July 15, 2018",Chicago Sky,Regular season,Westchester County Center,"White Plains, NY",2073
394,12,"July 21, 2018",Washington Mystics,Regular season,Westchester County Center,"White Plains, NY",2005
395,13,"August 4, 2018",Indiana Fever,Regular season,Westchester County Center,"White Plains, NY",2225
396,14,"August 6, 2018",Seattle Storm,Regular season,Madison Square Garden,"New York, NY",12488
397,15,"August 8, 2018",Los Angeles Sparks,Regular season,Westchester County Center,"White Plains, NY",2481
398,16,"August 12, 2018",Atlanta Dream,Regular season,Westchester County Center,"White Plains, NY",2362
399,0,"May 24, 2019",Indiana Fever,Regular season,Westchester County Center,"White Plains, NY",1965
400,1,"June 4, 2019",Los Angeles Sparks,Regular season,Westchester County Center,"New York, NY",3579
401,2,"June 7, 2019",Washington Mystics,Regular season,Westchester County Center,"White Plains, NY",1567
402,3,"June 9, 2019",Las Vegas Aces,Regular season,Westchester County Center,"White Plains, NY",1447
403,4,"June 12, 2019",Minnesota Lynx,Regular season,Westchester County Center,"White Plains, NY",1181
404,5,"June 19, 2019",Chicago Sky,Regular season,Westchester County Center,"White Plains, NY",1585
405,6,"June 28, 2019",Dallas Wings,Regular season,Westchester County Center,"White Plains, NY",2191
406,7,"July 7, 2019",Las Vegas Aces,Regular season,Westchester County Center,"White Plains, NY",1971
407,8,"July 20, 2019",Los Angeles Sparks,Regular season,Westchester County Center,"White Plains, NY",2195
408,9,"August 4, 2019",Connecticut Sun,Regular season,Westchester County Center,"White Plains, NY",1927
409,10,"August 11, 2019",Seattle Storm,Regular season,Barclays Center,"White Plains, NY",7715
410,11,"August 13, 2019",Minnesota Lynx,Regular season,Westchester County Center,"New York, NY",1570
411,12,"August 23, 2019",Atlanta Dream,Regular season,Westchester County Center,"White Plains, NY",1831
412,13,"August 27, 2019",Phoenix Mercury,Regular season,Westchester County Center,"White Plains, NY",1693
413,14,"August 30, 2019",Connecticut Sun,Regular season,Westchester County Center,"White Plains, NY",1791
414,15,"September 3, 2019",Washington Mystics,Regular season,Westchester County Center,"White Plains, NY",1558
415,16,"September 6, 2019",Indiana Fever,Regular season,Westchester County Center,"White Plains, NY",2301
416,0,"May 14, 2021",Indiana Fever,Regular season,Barclays Center,"Brooklyn, NY",1139
417,1,"May 18, 2021",Minnesota Lynx,Regular season,Barclays Center,"Brooklyn, NY",815
418,2,"May 24, 2021",Dallas Wings,Regular season,Barclays Center,"Brooklyn, NY",894
419,3,"May 29, 2021",Atlanta Dream,Regular season,Barclays Center,"Brooklyn, NY",1235
420,4,"June 3, 2021",Las Vegas Aces,Regular season,Barclays Center,"Brooklyn, NY",1389
421,5,"June 22, 2021",Chicago Sky,Regular season,Barclays Center,"Brooklyn, NY",1419
422,6,"June 24, 2021",Chicago Sky,Regular season,Barclays Center,"Brooklyn, NY",2148
423,7,"July 3, 2021",Washington Mystics,Regular season,Barclays Center,"Brooklyn, NY",1615
424,8,"July 5, 2021",Dallas Wings,Regular season,Barclays Center,"Brooklyn, NY",1677
425,9,"July 11, 2021",Connecticut Sun,Regular season,Barclays Center,"Brooklyn, NY",1988
426,10,"August 18, 2021",Seattle Storm,Regular season,Barclays Center,"Brooklyn, NY",2103
